Model,Smartness,Wins,Losses,Draws
model1.h5,0,476,304,220
model1.h5,0.5,303,477,220
model1.h5,1,80,671,249
model2.h5,0,634,88,278
model2.h5,0.5,376,165,459
model2.h5,1,67,250,683
model3.h5,0,646,122,232
model3.h5,0.5,419,190,391
model3.h5,1,58,264,678
model4.h5,0,708,121,171
model4.h5,0.5,408,236,356
model4.h5,1,72,362,566
model5.h5,0,647,147,206
model5.h5,0.5,353,235,412
model5.h5,1,9,354,637
model6.h5,0,719,124,157
model6.h5,0.5,385,227,388
model6.h5,1,78,314,608
model7.h5,0,564,298,138
model7.h5,0.5,346,412,242
model7.h5,1,42,590,368
model8_og.h5,0,182,750,68
model8_og.h5,0.5,107,836,57
model8_og.h5,1,54,902,44
model9.h5,0,573,296,131
model9.h5,0.5,303,549,148
model9.h5,1,13,791,196
model10.h5,0,567,237,196
model10.h5,0.5,325,433,242
model10.h5,1,96,552,352
model11.h5,0,616,187,197
model11.h5,0.5,352,379,269
model11.h5,1,100,568,332
model6_retrain_retrain.h5,0,811,41,148
model6_retrain_retrain.h5,0.5,497,116,387
model6_retrain_retrain.h5,1,77,235,688
model11_retrain.h5,0,699,73,228
model11_retrain.h5,0.5,417,164,419
model11_retrain.h5,1,56,304,640
model6_retrain_special_retrain.h5,0,779,49,172
model6_retrain_special_retrain.h5,0.5,501,152,347
model6_retrain_special_retrain.h5,1,70,335,595
modle16_final_final.h5,0,712,74,214
modle16_final_final.h5,0.5,422,217,361
modle16_final_final.h5,1,37,400,563
