Model,Smartness,Wins,Losses,Draws
model3_episode_0.h5,0,4,15,1
model3_episode_0.h5,0.5,1,13,6
model3_episode_0.h5,1,0,17,3
model3_episode_1000.h5,0,12,7,1
model3_episode_1000.h5,0.5,4,16,0
model3_episode_1000.h5,1,1,18,1
model3_episode_2000.h5,0,13,6,1
model3_episode_2000.h5,0.5,7,12,1
model3_episode_2000.h5,1,0,17,3
model3_episode_3000.h5,0,4,13,3
model3_episode_3000.h5,0.5,4,16,0
model3_episode_3000.h5,1,1,17,2
model3_episode_4000.h5,0,9,7,4
model3_episode_4000.h5,0.5,3,16,1
model3_episode_4000.h5,1,0,17,3
model3_episode_5000.h5,0,13,5,2
model3_episode_5000.h5,0.5,5,12,3
model3_episode_5000.h5,1,3,13,4
model3_episode_6000.h5,0,13,2,5
model3_episode_6000.h5,0.5,10,8,2
model3_episode_6000.h5,1,1,12,7
model3_episode_7000.h5,0,13,3,4
model3_episode_7000.h5,0.5,4,9,7
model3_episode_7000.h5,1,0,8,12
model3_episode_8000.h5,0,14,2,4
model3_episode_8000.h5,0.5,13,2,5
model3_episode_8000.h5,1,3,4,13
model3_episode_9000.h5,0,12,3,5
model3_episode_9000.h5,0.5,7,1,12
model3_episode_9000.h5,1,3,4,13
model3.h5,0,13,4,3
model3.h5,0.5,7,4,9
model3.h5,1,0,7,13
